upstream,mirror_name,tier,public_body,ownership_confidence,default_branch,upstream_archived,size_kb,clone_url,web_url,first_seen,last_seen,last_synced,synced_pushed_at,upstream_pushed_at,status,lfs,fidelity_notes,evidence_url
CSOIreland/bootstrap-toggle,CSOIreland.bootstrap-toggle,core,Central Statistics Office,high,master,false,197,https://github.com/CSOIreland/bootstrap-toggle.git,https://github.com/CSOIreland/bootstrap-toggle,2026-08-11,2026-09-04,2026-08-26,2020-10-13T22:20:32Z,2020-10-13T22:20:32Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/Client-API-Library,CSOIreland.Client-API-Library,core,Central Statistics Office,high,master,false,1331,https://github.com/CSOIreland/Client-API-Library.git,https://github.com/CSOIreland/Client-API-Library,2026-08-11,2026-09-04,2026-08-26,2026-02-25T15:26:39Z,2026-02-25T15:26:39Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/Code-Transcompiler-using-LLMs-public,CSOIreland.Code-Transcompiler-using-LLMs-public,core,Central Statistics Office,high,main,false,248,https://github.com/CSOIreland/Code-Transcompiler-using-LLMs-public.git,https://github.com/CSOIreland/Code-Transcompiler-using-LLMs-public,2026-08-11,2026-09-04,2026-08-26,2026-02-17T09:29:49Z,2026-02-17T09:29:49Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/CSO2FA,CSOIreland.CSO2FA,core,Central Statistics Office,high,main,false,152,https://github.com/CSOIreland/CSO2FA.git,https://github.com/CSOIreland/CSO2FA,2026-08-11,2026-09-04,2026-08-26,2024-08-16T08:23:15Z,2024-08-16T08:23:15Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/CSOAutomapper,CSOIreland.CSOAutomapper,core,Central Statistics Office,high,main,false,159855,https://github.com/CSOIreland/CSOAutomapper.git,https://github.com/CSOIreland/CSOAutomapper,2026-08-11,2026-09-04,2026-08-27,2025-04-23T17:12:44Z,2025-04-23T17:12:44Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/CSOBSTheme,CSOIreland.CSOBSTheme,core,Central Statistics Office,high,main,false,20093,https://github.com/CSOIreland/CSOBSTheme.git,https://github.com/CSOIreland/CSOBSTheme,2026-08-11,2026-09-04,2026-08-27,2024-04-25T14:33:20Z,2024-04-25T14:33:20Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/csodata,CSOIreland.csodata,core,Central Statistics Office,high,main,false,160,https://github.com/CSOIreland/csodata.git,https://github.com/CSOIreland/csodata,2026-08-11,2026-09-04,2026-08-26,2025-08-26T14:33:31Z,2025-08-26T14:33:31Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/CSOEmail,CSOIreland.CSOEmail,core,Central Statistics Office,high,main,false,4443,https://github.com/CSOIreland/CSOEmail.git,https://github.com/CSOIreland/CSOEmail,2026-08-11,2026-09-04,2026-08-26,2025-05-07T13:11:36Z,2025-05-07T13:11:36Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/CSOFirebase,CSOIreland.CSOFirebase,core,Central Statistics Office,high,main,false,17457,https://github.com/CSOIreland/CSOFirebase.git,https://github.com/CSOIreland/CSOFirebase,2026-08-11,2026-09-04,2026-08-27,2024-08-26T08:28:12Z,2024-08-26T08:28:12Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/CSORecaptcha,CSOIreland.CSORecaptcha,core,Central Statistics Office,high,main,false,4557,https://github.com/CSOIreland/CSORecaptcha.git,https://github.com/CSOIreland/CSORecaptcha,2026-08-11,2026-09-04,2026-08-26,2024-09-02T10:56:25Z,2024-09-02T10:56:25Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/CSOSanitizer,CSOIreland.CSOSanitizer,core,Central Statistics Office,high,main,false,15672,https://github.com/CSOIreland/CSOSanitizer.git,https://github.com/CSOIreland/CSOSanitizer,2026-08-11,2026-09-04,2026-08-27,2025-04-23T16:43:57Z,2025-04-23T16:43:57Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/CSOStatic,CSOIreland.CSOStatic,core,Central Statistics Office,high,main,false,261628,https://github.com/CSOIreland/CSOStatic.git,https://github.com/CSOIreland/CSOStatic,2026-08-11,2026-09-04,2026-08-27,2025-10-20T11:02:50Z,2025-10-20T11:02:50Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/Datatables,CSOIreland.Datatables,core,Central Statistics Office,high,main,false,2687,https://github.com/CSOIreland/Datatables.git,https://github.com/CSOIreland/Datatables,2026-08-11,2026-09-04,2026-08-26,2024-10-24T14:17:58Z,2024-10-24T14:17:58Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/editable-table,CSOIreland.editable-table,core,Central Statistics Office,high,master,false,56,https://github.com/CSOIreland/editable-table.git,https://github.com/CSOIreland/editable-table,2026-08-11,2026-09-04,2026-08-26,2023-11-29T17:25:33Z,2023-11-29T17:25:33Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/edprofiles,CSOIreland.edprofiles,core,Central Statistics Office,high,main,false,4550767,https://github.com/CSOIreland/edprofiles.git,https://github.com/CSOIreland/edprofiles,2026-08-11,2026-09-04,2026-08-26,2026-06-19T13:03:55Z,2026-06-19T13:03:55Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/FontAwesome,CSOIreland.FontAwesome,core,Central Statistics Office,high,main,false,9589,https://github.com/CSOIreland/FontAwesome.git,https://github.com/CSOIreland/FontAwesome,2026-08-11,2026-09-04,2026-08-27,2026-03-26T15:27:26Z,2026-03-26T15:27:26Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/FPAPGMS2025_Tutorial,CSOIreland.FPAPGMS2025_Tutorial,core,Central Statistics Office,high,main,false,7,https://github.com/CSOIreland/FPAPGMS2025_Tutorial.git,https://github.com/CSOIreland/FPAPGMS2025_Tutorial,2026-08-11,2026-09-04,2026-08-26,2026-01-15T15:14:51Z,2026-01-15T15:14:51Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/healthRegionProfiles,CSOIreland.healthRegionProfiles,core,Central Statistics Office,high,main,false,96291,https://github.com/CSOIreland/healthRegionProfiles.git,https://github.com/CSOIreland/healthRegionProfiles,2026-08-11,2026-09-04,2026-08-27,2025-04-07T11:47:53Z,2025-04-07T11:47:53Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/hsr,CSOIreland.hsr,core,Central Statistics Office,high,main,false,2141,https://github.com/CSOIreland/hsr.git,https://github.com/CSOIreland/hsr,2026-08-11,2026-09-04,2026-08-26,2023-12-01T12:08:22Z,2023-12-01T12:08:22Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/HttpTester,CSOIreland.HttpTester,core,Central Statistics Office,high,main,false,89,https://github.com/CSOIreland/HttpTester.git,https://github.com/CSOIreland/HttpTester,2026-08-11,2026-09-04,2026-08-26,2024-08-26T09:43:25Z,2024-08-26T09:43:25Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/KeywordRepair,CSOIreland.KeywordRepair,core,Central Statistics Office,high,main,true,4913,https://github.com/CSOIreland/KeywordRepair.git,https://github.com/CSOIreland/KeywordRepair,2026-08-11,2026-09-04,2026-08-26,2024-01-31T10:03:24Z,2024-01-31T10:03:24Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/LanguageUtilities,CSOIreland.LanguageUtilities,core,Central Statistics Office,high,main,false,718,https://github.com/CSOIreland/LanguageUtilities.git,https://github.com/CSOIreland/LanguageUtilities,2026-08-11,2026-09-04,2026-08-26,2023-01-17T09:59:31Z,2023-01-17T09:59:31Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/leaflet-choropleth,CSOIreland.leaflet-choropleth,core,Central Statistics Office,high,gh-pages,false,427,https://github.com/CSOIreland/leaflet-choropleth.git,https://github.com/CSOIreland/leaflet-choropleth,2026-08-11,2026-09-04,2026-08-26,2024-06-18T10:14:45Z,2024-06-18T10:14:45Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/LogParse,CSOIreland.LogParse,core,Central Statistics Office,high,main,false,14,https://github.com/CSOIreland/LogParse.git,https://github.com/CSOIreland/LogParse,2026-08-11,2026-09-04,2026-08-26,2024-09-06T14:19:17Z,2024-09-06T14:19:17Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/open-data-viz,CSOIreland.open-data-viz,core,Central Statistics Office,high,main,false,961,https://github.com/CSOIreland/open-data-viz.git,https://github.com/CSOIreland/open-data-viz,2026-08-11,2026-09-04,2026-08-26,2023-05-16T12:10:19Z,2023-05-16T12:10:19Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/PDF-API,CSOIreland.PDF-API,core,Central Statistics Office,high,main,false,153529,https://github.com/CSOIreland/PDF-API.git,https://github.com/CSOIreland/PDF-API,2026-08-11,2026-09-04,2026-08-27,2023-09-26T15:25:48Z,2026-09-03T14:47:32Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/Phase,CSOIreland.Phase,core,Central Statistics Office,high,main,false,393326,https://github.com/CSOIreland/Phase.git,https://github.com/CSOIreland/Phase,2026-08-11,2026-09-04,2026-08-27,2024-12-18T08:54:29Z,2024-12-18T08:54:29Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/PxLanguagePlugins,CSOIreland.PxLanguagePlugins,core,Central Statistics Office,high,main,false,74357,https://github.com/CSOIreland/PxLanguagePlugins.git,https://github.com/CSOIreland/PxLanguagePlugins,2026-08-11,2026-09-04,2026-08-27,2026-06-24T10:57:56Z,2026-06-24T10:57:56Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/PXS-Standard,CSOIreland.PXS-Standard,core,Central Statistics Office,high,master,false,69,https://github.com/CSOIreland/PXS-Standard.git,https://github.com/CSOIreland/PXS-Standard,2026-08-11,2026-09-04,2026-08-26,2022-10-25T06:02:52Z,2022-10-25T06:02:52Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/PxStat,CSOIreland.PxStat,core,Central Statistics Office,high,master,false,301967,https://github.com/CSOIreland/PxStat.git,https://github.com/CSOIreland/PxStat,2026-08-11,2026-09-04,2026-08-27,2025-03-20T16:33:38Z,2025-03-20T16:33:38Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/PxV6UpgradeScript,CSOIreland.PxV6UpgradeScript,core,Central Statistics Office,high,master,false,11693,https://github.com/CSOIreland/PxV6UpgradeScript.git,https://github.com/CSOIreland/PxV6UpgradeScript,2026-08-11,2026-09-04,2026-08-27,2025-03-13T15:00:59Z,2025-03-13T15:00:59Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/PxWidget,CSOIreland.PxWidget,core,Central Statistics Office,high,master,false,373,https://github.com/CSOIreland/PxWidget.git,https://github.com/CSOIreland/PxWidget,2026-08-11,2026-09-04,2026-08-26,2026-08-06T12:30:48Z,2026-09-01T14:28:21Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/Server-API-Library,CSOIreland.Server-API-Library,core,Central Statistics Office,high,master,false,429490,https://github.com/CSOIreland/Server-API-Library.git,https://github.com/CSOIreland/Server-API-Library,2026-08-11,2026-09-04,2026-08-27,2026-01-26T15:07:55Z,2026-01-26T15:07:55Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/T4-SDK,CSOIreland.T4-SDK,core,Central Statistics Office,high,main,false,4363,https://github.com/CSOIreland/T4-SDK.git,https://github.com/CSOIreland/T4-SDK,2026-08-11,2026-09-04,2026-08-26,2026-08-17T11:08:01Z,2026-09-02T08:50:07Z,active,unknown,,https://github.com/CSOIreland
CSOIreland/TinyMCE,CSOIreland.TinyMCE,core,Central Statistics Office,high,main,false,2146,https://github.com/CSOIreland/TinyMCE.git,https://github.com/CSOIreland/TinyMCE,2026-08-11,2026-09-04,2026-08-26,2024-05-03T10:09:41Z,2024-05-03T10:09:41Z,active,unknown,,https://github.com/CSOIreland
Geological-Survey-Ireland/Hyperspectral,Geological-Survey-Ireland.Hyperspectral,core,Geological Survey Ireland,high,main,false,11913,https://github.com/Geological-Survey-Ireland/Hyperspectral.git,https://github.com/Geological-Survey-Ireland/Hyperspectral,2026-08-11,2026-09-04,2026-08-27,2023-02-26T10:22:04Z,2023-02-26T10:22:04Z,active,unknown,,https://github.com/Geological-Survey-Ireland
Geological-Survey-Ireland/ML_models,Geological-Survey-Ireland.ML_models,core,Geological Survey Ireland,high,main,false,808,https://github.com/Geological-Survey-Ireland/ML_models.git,https://github.com/Geological-Survey-Ireland/ML_models,2026-08-11,2026-09-04,2026-08-26,2024-09-08T15:03:27Z,2024-09-08T15:03:27Z,active,unknown,,https://github.com/Geological-Survey-Ireland
HSEIreland/covid-green-backend-api,HSEIreland.covid-green-backend-api,core,Health Service Executive,high,current,true,318,https://github.com/HSEIreland/covid-green-backend-api.git,https://github.com/HSEIreland/covid-green-backend-api,2026-08-11,2026-09-04,2026-08-26,2021-11-17T13:23:39Z,2021-11-17T13:23:39Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-green-infra,HSEIreland.covid-green-infra,core,Health Service Executive,high,current,true,1064,https://github.com/HSEIreland/covid-green-infra.git,https://github.com/HSEIreland/covid-green-infra,2026-08-11,2026-09-04,2026-08-26,2021-02-10T12:36:14Z,2021-02-10T12:36:14Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-green-interoperability-infra,HSEIreland.covid-green-interoperability-infra,core,Health Service Executive,high,current,true,33,https://github.com/HSEIreland/covid-green-interoperability-infra.git,https://github.com/HSEIreland/covid-green-interoperability-infra,2026-08-11,2026-09-04,2026-08-26,2020-08-05T16:40:41Z,2020-08-05T16:40:41Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-green-interoperability-service,HSEIreland.covid-green-interoperability-service,core,Health Service Executive,high,current,true,121,https://github.com/HSEIreland/covid-green-interoperability-service.git,https://github.com/HSEIreland/covid-green-interoperability-service,2026-08-11,2026-09-04,2026-08-26,2020-09-17T12:50:06Z,2020-09-17T12:50:06Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-green-lambdas,HSEIreland.covid-green-lambdas,core,Health Service Executive,high,current,true,173,https://github.com/HSEIreland/covid-green-lambdas.git,https://github.com/HSEIreland/covid-green-lambdas,2026-08-11,2026-09-04,2026-08-26,2021-02-10T12:39:45Z,2021-02-10T12:39:45Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-green-push-api,HSEIreland.covid-green-push-api,core,Health Service Executive,high,current,true,167,https://github.com/HSEIreland/covid-green-push-api.git,https://github.com/HSEIreland/covid-green-push-api,2026-08-11,2026-09-04,2026-08-26,2021-02-10T12:38:56Z,2021-02-10T12:38:56Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-tracker-app,HSEIreland.covid-tracker-app,core,Health Service Executive,high,main,true,4412,https://github.com/HSEIreland/covid-tracker-app.git,https://github.com/HSEIreland/covid-tracker-app,2026-08-11,2026-09-04,2026-08-26,2021-07-16T09:19:42Z,2021-07-16T09:19:42Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-tracker-backend-api,HSEIreland.covid-tracker-backend-api,core,Health Service Executive,high,master,true,512,https://github.com/HSEIreland/covid-tracker-backend-api.git,https://github.com/HSEIreland/covid-tracker-backend-api,2026-08-11,2026-09-04,2026-08-26,2020-09-18T15:39:10Z,2020-09-18T15:39:10Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-tracker-infra,HSEIreland.covid-tracker-infra,core,Health Service Executive,high,master,true,880,https://github.com/HSEIreland/covid-tracker-infra.git,https://github.com/HSEIreland/covid-tracker-infra,2026-08-11,2026-09-04,2026-08-26,2020-06-26T15:41:34Z,2020-06-26T15:41:34Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-tracker-lambdas,HSEIreland.covid-tracker-lambdas,core,Health Service Executive,high,master,true,20,https://github.com/HSEIreland/covid-tracker-lambdas.git,https://github.com/HSEIreland/covid-tracker-lambdas,2026-08-11,2026-09-04,2026-08-26,2020-06-26T08:59:52Z,2020-06-26T08:59:52Z,active,unknown,,https://government.github.com/community/
HSEIreland/covid-tracker-push-api,HSEIreland.covid-tracker-push-api,core,Health Service Executive,high,master,true,102,https://github.com/HSEIreland/covid-tracker-push-api.git,https://github.com/HSEIreland/covid-tracker-push-api,2026-08-11,2026-09-04,2026-08-26,2020-07-13T21:10:46Z,2020-07-13T21:10:46Z,active,unknown,,https://government.github.com/community/
HSEIreland/covidtracker-documentation,HSEIreland.covidtracker-documentation,core,Health Service Executive,high,master,true,11523,https://github.com/HSEIreland/covidtracker-documentation.git,https://github.com/HSEIreland/covidtracker-documentation,2026-08-11,2026-09-04,2026-08-27,2021-07-16T13:31:12Z,2021-07-16T13:31:12Z,active,unknown,,https://government.github.com/community/
HSEIreland/hse-healthapp-test-fhir-server,HSEIreland.hse-healthapp-test-fhir-server,core,Health Service Executive,high,main,true,119200,https://github.com/HSEIreland/hse-healthapp-test-fhir-server.git,https://github.com/HSEIreland/hse-healthapp-test-fhir-server,2026-08-11,2026-09-04,2026-08-27,2024-06-18T20:28:28Z,2024-06-18T20:28:28Z,active,unknown,,https://government.github.com/community/
HSEIreland/react-native-exposure-notification-service,HSEIreland.react-native-exposure-notification-service,core,Health Service Executive,high,master,true,1128,https://github.com/HSEIreland/react-native-exposure-notification-service.git,https://github.com/HSEIreland/react-native-exposure-notification-service,2026-08-11,2026-09-04,2026-08-26,2020-07-30T08:51:26Z,2020-07-30T08:51:26Z,active,unknown,,https://government.github.com/community/
HSEIreland/react-native-exposure-notification-service-1,HSEIreland.react-native-exposure-notification-service-1,core,Health Service Executive,high,current,true,2606,https://github.com/HSEIreland/react-native-exposure-notification-service-1.git,https://github.com/HSEIreland/react-native-exposure-notification-service-1,2026-08-11,2026-09-04,2026-08-26,2022-04-28T15:00:28Z,2022-04-28T15:00:28Z,active,unknown,,https://government.github.com/community/
IrishMarineInstitute/adcpvis,IrishMarineInstitute.adcpvis,core,Marine Institute,high,master,false,1334,https://github.com/IrishMarineInstitute/adcpvis.git,https://github.com/IrishMarineInstitute/adcpvis,2026-08-11,2026-09-04,2026-08-26,2021-11-22T09:52:19Z,2021-11-22T09:52:19Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/adrift,IrishMarineInstitute.adrift,core,Marine Institute,high,master,false,3675,https://github.com/IrishMarineInstitute/adrift.git,https://github.com/IrishMarineInstitute/adrift,2026-08-11,2026-09-04,2026-08-26,2026-05-05T19:10:54Z,2026-05-05T19:10:54Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/aggrerdap,IrishMarineInstitute.aggrerdap,core,Marine Institute,high,master,false,35,https://github.com/IrishMarineInstitute/aggrerdap.git,https://github.com/IrishMarineInstitute/aggrerdap,2026-08-11,2026-09-04,2026-08-26,2026-08-19T08:32:23Z,2026-09-02T07:54:04Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/argo-vis,IrishMarineInstitute.argo-vis,core,Marine Institute,high,master,false,8711,https://github.com/IrishMarineInstitute/argo-vis.git,https://github.com/IrishMarineInstitute/argo-vis,2026-08-11,2026-09-04,2026-08-27,2021-11-22T10:19:32Z,2021-11-22T10:19:32Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/argoCollector,IrishMarineInstitute.argoCollector,core,Marine Institute,high,master,false,47,https://github.com/IrishMarineInstitute/argoCollector.git,https://github.com/IrishMarineInstitute/argoCollector,2026-08-11,2026-09-04,2026-08-26,2026-03-26T09:32:06Z,2026-03-26T09:32:06Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/awesome-erddap,IrishMarineInstitute.awesome-erddap,core,Marine Institute,high,master,false,299,https://github.com/IrishMarineInstitute/awesome-erddap.git,https://github.com/IrishMarineInstitute/awesome-erddap,2026-08-11,2026-09-04,2026-08-26,2026-08-05T09:20:57Z,2026-09-03T08:10:36Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/bulletin-scripts,IrishMarineInstitute.bulletin-scripts,core,Marine Institute,high,master,false,27,https://github.com/IrishMarineInstitute/bulletin-scripts.git,https://github.com/IrishMarineInstitute/bulletin-scripts,2026-08-11,2026-09-04,2026-08-26,2018-04-09T12:45:33Z,2018-04-09T12:45:33Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/BurishooleLTER-Public,IrishMarineInstitute.BurishooleLTER-Public,core,Marine Institute,high,master,false,41019,https://github.com/IrishMarineInstitute/BurishooleLTER-Public.git,https://github.com/IrishMarineInstitute/BurishooleLTER-Public,2026-08-11,2026-09-04,2026-08-27,2026-05-19T16:14:58Z,2026-05-19T16:14:58Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/celtic_sea_sensitivity_analysis,IrishMarineInstitute.celtic_sea_sensitivity_analysis,core,Marine Institute,high,main,false,343385,https://github.com/IrishMarineInstitute/celtic_sea_sensitivity_analysis.git,https://github.com/IrishMarineInstitute/celtic_sea_sensitivity_analysis,2026-08-11,2026-09-04,2026-08-27,2025-02-11T16:41:45Z,2025-02-11T16:41:45Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/ClimFish,IrishMarineInstitute.ClimFish,core,Marine Institute,high,main,false,3,https://github.com/IrishMarineInstitute/ClimFish.git,https://github.com/IrishMarineInstitute/ClimFish,2026-08-11,2026-09-04,2026-08-26,2021-06-23T14:31:19Z,2021-06-23T14:31:19Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/cod-tagging,IrishMarineInstitute.cod-tagging,core,Marine Institute,high,master,false,1867,https://github.com/IrishMarineInstitute/cod-tagging.git,https://github.com/IrishMarineInstitute/cod-tagging,2026-08-11,2026-09-04,2026-08-26,2024-12-09T15:32:53Z,2024-12-09T15:32:53Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/connectiq-ido,IrishMarineInstitute.connectiq-ido,core,Marine Institute,high,master,false,54,https://github.com/IrishMarineInstitute/connectiq-ido.git,https://github.com/IrishMarineInstitute/connectiq-ido,2026-08-11,2026-09-04,2026-08-26,2018-06-05T07:59:04Z,2018-06-05T07:59:04Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/data.marine.ie,IrishMarineInstitute.data.marine.ie,core,Marine Institute,high,master,false,673,https://github.com/IrishMarineInstitute/data.marine.ie.git,https://github.com/IrishMarineInstitute/data.marine.ie,2026-08-11,2026-09-04,2026-08-26,2026-08-08T11:10:44Z,2026-08-08T11:10:44Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/data_process_access,IrishMarineInstitute.data_process_access,core,Marine Institute,high,main,false,2,https://github.com/IrishMarineInstitute/data_process_access.git,https://github.com/IrishMarineInstitute/data_process_access,2026-08-11,2026-09-04,2026-08-26,2025-02-26T14:12:07Z,2025-02-26T14:12:07Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/data_visualisations,IrishMarineInstitute.data_visualisations,core,Marine Institute,high,main,false,237162,https://github.com/IrishMarineInstitute/data_visualisations.git,https://github.com/IrishMarineInstitute/data_visualisations,2026-08-11,2026-09-04,2026-08-27,2022-11-16T16:00:01Z,2022-11-16T16:00:01Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/datasetsxml,IrishMarineInstitute.datasetsxml,core,Marine Institute,high,master,false,8,https://github.com/IrishMarineInstitute/datasetsxml.git,https://github.com/IrishMarineInstitute/datasetsxml,2026-08-11,2026-09-04,2026-08-26,2021-11-22T10:23:01Z,2021-11-22T10:23:01Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/DATRASDownloadR,IrishMarineInstitute.DATRASDownloadR,core,Marine Institute,high,main,false,7,https://github.com/IrishMarineInstitute/DATRASDownloadR.git,https://github.com/IrishMarineInstitute/DATRASDownloadR,2026-08-11,2026-09-04,2026-08-26,2021-05-07T08:25:15Z,2021-05-07T08:25:15Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/digital-stockbook,IrishMarineInstitute.digital-stockbook,core,Marine Institute,high,master,false,457347,https://github.com/IrishMarineInstitute/digital-stockbook.git,https://github.com/IrishMarineInstitute/digital-stockbook,2026-08-11,2026-09-04,2026-08-27,2023-12-01T14:34:18Z,2023-12-01T14:34:18Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/dm,IrishMarineInstitute.dm,core,Marine Institute,high,master,true,101,https://github.com/IrishMarineInstitute/dm.git,https://github.com/IrishMarineInstitute/dm,2026-08-11,2026-09-04,2026-08-26,2020-04-17T14:19:21Z,2020-04-17T14:19:21Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/dm.belmullet2tcp,IrishMarineInstitute.dm.belmullet2tcp,core,Marine Institute,high,master,false,1,https://github.com/IrishMarineInstitute/dm.belmullet2tcp.git,https://github.com/IrishMarineInstitute/dm.belmullet2tcp,2026-08-11,2026-09-04,2026-08-26,2018-12-06T16:23:38Z,2018-12-06T16:23:38Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/dm.compass,IrishMarineInstitute.dm.compass,core,Marine Institute,high,master,false,76,https://github.com/IrishMarineInstitute/dm.compass.git,https://github.com/IrishMarineInstitute/dm.compass,2026-08-11,2026-09-04,2026-08-26,2019-10-15T12:07:54Z,2019-10-15T12:07:54Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/dm.dashboard,IrishMarineInstitute.dm.dashboard,core,Marine Institute,high,master,true,866,https://github.com/IrishMarineInstitute/dm.dashboard.git,https://github.com/IrishMarineInstitute/dm.dashboard,2026-08-11,2026-09-04,2026-08-26,2019-10-21T10:49:11Z,2019-10-21T10:49:11Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/dm.rinvilleaiskplex,IrishMarineInstitute.dm.rinvilleaiskplex,core,Marine Institute,high,master,false,1,https://github.com/IrishMarineInstitute/dm.rinvilleaiskplex.git,https://github.com/IrishMarineInstitute/dm.rinvilleaiskplex,2026-08-11,2026-09-04,2026-08-26,2018-12-06T16:46:45Z,2018-12-06T16:46:45Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/dm.vector,IrishMarineInstitute.dm.vector,core,Marine Institute,high,master,false,806,https://github.com/IrishMarineInstitute/dm.vector.git,https://github.com/IrishMarineInstitute/dm.vector,2026-08-11,2026-09-04,2026-08-26,2018-12-06T16:22:17Z,2018-12-06T16:22:17Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/docker-argo-erddap,IrishMarineInstitute.docker-argo-erddap,core,Marine Institute,high,master,false,24,https://github.com/IrishMarineInstitute/docker-argo-erddap.git,https://github.com/IrishMarineInstitute/docker-argo-erddap,2026-08-11,2026-09-04,2026-08-26,2016-11-17T11:51:09Z,2016-11-17T11:51:09Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/docker-erddap,IrishMarineInstitute.docker-erddap,core,Marine Institute,high,master,false,21,https://github.com/IrishMarineInstitute/docker-erddap.git,https://github.com/IrishMarineInstitute/docker-erddap,2026-08-11,2026-09-04,2026-08-26,2016-05-17T15:22:20Z,2016-05-17T15:22:20Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
